method,backbone_name,lambda,alpha,beta,normalization,HR@1,HR@3,HR@5,HR@10,NDCG@1,NDCG@3,NDCG@5,NDCG@10,MRR,MRR@10,candidate_pool_size_mean,candidate_pool_size_min,candidate_pool_size_max,hr10_trivial_flag,rank_change_rate,top10_order_change_rate,mean_kendall_tau,base_risk_spearman,relative_NDCG_vs_backbone,relative_MRR_vs_backbone
B_SASRec_plus_calibrated_relevance,minimal_sasrec,0.0,0.9,0.0999999999999999,zscore,0.3615,0.6905,0.89,1.0,0.3615,0.5496982853964338,0.6318494161599346,0.6710322067418171,0.5652416666666666,0.5652416666666666,6.0,6.0,6.0,True,0.7815,0.9805,0.168,0.100176444605732,0.2203216289301558,0.3803215303215303
C_SASRec_plus_evidence_risk,minimal_sasrec,0.0,1.0,0.0,zscore,0.2035,0.4295,0.7685,1.0,0.2035,0.32952751048036,0.4674194697620527,0.5498814335775598,0.4095,0.4095,6.0,6.0,6.0,True,0.0,0.0,1.0,0.100176444605732,0.0,0.0
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.0,0.5,0.5,zscore,0.3615,0.6965,0.907,1.0,0.3615,0.5530256097803625,0.6396731520530569,0.6728004204541029,0.5672999999999999,0.5672999999999999,6.0,6.0,6.0,True,0.7918333333333334,0.9825,0.1574666666666666,0.100176444605732,0.2235372561623425,0.3853479853479852
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.0,0.75,0.25,zscore,0.362,0.691,0.8905,1.0,0.362,0.5502637502732196,0.6324148810367203,0.6714195680250488,0.5657416666666667,0.5657416666666667,6.0,6.0,6.0,True,0.7824166666666668,0.981,0.1672,0.100176444605732,0.2210260740333692,0.3815425315425317
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.0,0.9,0.0999999999999999,zscore,0.3615,0.6905,0.89,1.0,0.3615,0.5496982853964338,0.6318494161599346,0.6710322067418171,0.5652416666666666,0.5652416666666666,6.0,6.0,6.0,True,0.7815,0.9805,0.168,0.100176444605732,0.2203216289301558,0.3803215303215303
C_SASRec_plus_evidence_risk,minimal_sasrec,0.05,1.0,0.0,zscore,0.257,0.468,0.7635,1.0,0.257,0.3757893699875029,0.495867197760619,0.5801101975116661,0.4493416666666667,0.4493416666666667,6.0,6.0,6.0,True,0.681,0.9535,0.4206,0.100176444605732,0.0549732398445175,0.0972934472934474
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.05,0.5,0.5,zscore,0.356,0.705,0.91,1.0,0.356,0.5546565395339339,0.6390230082389023,0.6710816550786244,0.5648583333333334,0.5648583333333334,6.0,6.0,6.0,True,0.7996666666666667,0.9865,0.082,0.100176444605732,0.2204115543827858,0.3793854293854295
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.05,0.75,0.25,zscore,0.345,0.685,0.8905,1.0,0.345,0.5390910746571481,0.6237167053919923,0.6627213923803206,0.5542,0.5542,6.0,6.0,6.0,True,0.7866666666666667,0.982,0.1000666666666666,0.100176444605732,0.2052077991952148,0.3533577533577535
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.05,0.9,0.0999999999999999,zscore,0.348,0.652,0.868,1.0,0.348,0.5212106200785761,0.6101392359189964,0.6571585846172554,0.5476583333333335,0.5476583333333335,6.0,6.0,6.0,True,0.7784166666666668,0.982,0.1333333333333333,0.100176444605732,0.1950914224212742,0.3373829873829878
C_SASRec_plus_evidence_risk,minimal_sasrec,0.1,1.0,0.0,zscore,0.257,0.468,0.7635,1.0,0.257,0.3757893699875029,0.4958891096360384,0.5801321093870856,0.4493666666666667,0.4493666666666667,6.0,6.0,6.0,True,0.6810833333333334,0.9535,0.4205333333333333,0.100176444605732,0.0550130882083309,0.0973544973544974
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.1,0.5,0.5,zscore,0.346,0.694,0.9045,1.0,0.346,0.5448766531785769,0.6315680192021101,0.6655858055709263,0.5576833333333334,0.5576833333333334,6.0,6.0,6.0,True,0.7949166666666667,0.9825,0.0885333333333333,0.100176444605732,0.2104169461416205,0.3618640618640621
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.1,0.75,0.25,zscore,0.3455,0.661,0.874,1.0,0.3455,0.525966312244648,0.6136905459125257,0.6585726514881366,0.5492583333333333,0.5492583333333333,6.0,6.0,6.0,True,0.7800833333333334,0.9835,0.1250666666666666,0.100176444605732,0.1976630074658559,0.3412901912901913
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.1,0.9,0.0999999999999999,zscore,0.3215,0.585,0.8495,1.0,0.3215,0.4700090084571466,0.5782039585830889,0.6318131402428462,0.51535,0.51535,6.0,6.0,6.0,True,0.7416666666666667,0.9685,0.2289333333333333,0.100176444605732,0.1489988598673609,0.2584859584859585
C_SASRec_plus_evidence_risk,minimal_sasrec,0.2,1.0,0.0,zscore,0.257,0.469,0.764,1.0,0.257,0.3763548348642887,0.4962392362337874,0.5803041323912806,0.449575,0.449575,6.0,6.0,6.0,True,0.6815833333333333,0.954,0.4201999999999999,0.100176444605732,0.0553259247467022,0.0978632478632479
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.2,0.5,0.5,zscore,0.3465,0.6725,0.892,1.0,0.3465,0.5331328205196482,0.6235030686870671,0.6619734448947333,0.553375,0.553375,6.0,6.0,6.0,True,0.7903333333333333,0.985,0.1101333333333333,0.100176444605732,0.20384760145091,0.3513431013431013
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.2,0.75,0.25,zscore,0.347,0.6345,0.8595,1.0,0.347,0.5101930684053614,0.6026252713863121,0.6526723811749892,0.54215,0.54215,6.0,6.0,6.0,True,0.7729166666666666,0.982,0.1536,0.100176444605732,0.1869329301203454,0.323931623931624
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.2,0.9,0.0999999999999999,zscore,0.29,0.5085,0.793,1.0,0.29,0.4121465807267885,0.5276403494890333,0.6013752372203939,0.47685,0.47685,6.0,6.0,6.0,True,0.7030833333333333,0.96,0.3565333333333333,0.100176444605732,0.0936452851441309,0.1644688644688645
C_SASRec_plus_evidence_risk,minimal_sasrec,0.5,1.0,0.0,zscore,0.256,0.469,0.764,1.0,0.256,0.3760512294946459,0.4959356308641446,0.5800005270216378,0.4491583333333334,0.4491583333333334,6.0,6.0,6.0,True,0.683,0.955,0.4194,0.100176444605732,0.0547737959583787,0.096845746845747
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.5,0.5,0.5,zscore,0.3015,0.606,0.8675,1.0,0.3015,0.4749606200785762,0.5818854524057179,0.6290829046975307,0.5109583333333334,0.5109583333333334,6.0,6.0,6.0,True,0.7610833333333333,0.9715,0.2036666666666667,0.100176444605732,0.1440337248789827,0.247761497761498
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.5,0.75,0.25,zscore,0.2875,0.5095,0.796,1.0,0.2875,0.4118548348642887,0.5281442211164219,0.6008104872864584,0.476025,0.476025,6.0,6.0,6.0,True,0.70625,0.9605,0.3538,0.100176444605732,0.092618245678075,0.1624542124542124
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.5,0.9,0.0999999999999999,zscore,0.2765,0.4805,0.7705,1.0,0.2765,0.3910037914660741,0.5086909862943672,0.5904405357356581,0.4629416666666667,0.4629416666666667,6.0,6.0,6.0,True,0.6901666666666667,0.9595,0.3955333333333333,0.100176444605732,0.0737597228810191,0.1305046805046806
